,Name,P.CH3 (wt%),P.CH2 (wt%),P.CH (wt%),Olef (wt%),Naph (wt%),Arom (wt%),OH (wt%),O (wt%),Mol Wt,B.I,DCN
142,XO 12,51.69045592194293,23.37561507841878,8.049232650710602,9.454635440579459,0.0,0.0,0.0,0.0,103.1626123261995,0.38325224652399,22.9
143,XO 13,46.938217177635345,27.1152853059654,6.9186346749406935,12.641430833821016,0.0,0.0,0.0,0.0,99.95963536996275,0.319192707399255,24.02
144,XO 14,42.15932685193212,30.87592841194361,5.781696061505419,15.84609846399846,0.0,0.0,0.0,0.0,96.93319025348623,0.2586638050697247,24.51
145,XO 15,37.353560112641446,34.65772132312399,4.638363320916003,19.068789100934563,0.0,0.0,0.0,0.0,94.0690740639394,0.20138148127878805,25.34
146,XO 16,32.52068959153381,38.460842961956395,3.488582360338763,22.30965521508909,0.0,0.0,0.0,0.0,91.35456769367362,0.14709135387347222,26.5
147,XO 17,27.660485348483824,42.285474274787894,2.332298475064125,25.56885100160497,0.0,0.0,0.0,0.0,88.77824700236496,0.09556494004729942,27.2
148,XO 90,22.772714835001757,46.1317982605607,1.1694563398304831,28.846532404763526,0.0,0.0,0.0,0.0,86.32982210248117,0.046596442049623564,28.2
149,CO 89,58.478259612433284,10.915941794320878,10.136231666155101,0.0,11.113045389101423,0.0,0.0,0.0,109.64812640854262,0.5854937546951421,18.12
150,CO 78,51.34567447521908,9.584525902040893,8.899916909037973,0.0,21.954574797667004,0.0,0.0,0.0,105.7112647536103,0.5723708825120344,18.2
151,CO 67,44.38525083660818,8.285246822833525,7.693443478345416,0.0,32.534418728355575,0.0,0.0,0.0,102.13275110586713,0.5604425036862237,18.28
152,CO 57,37.59082975073704,7.016954886804247,6.5157438234610865,0.0,42.861938778879704,0.0,0.0,0.0,98.86578802297669,0.5495526267432557,18.34
153,CO 47,30.956542585260873,5.778554615915362,5.36580071477855,0.0,52.946055270403484,0.0,0.0,0.0,95.87138665474214,0.5395712888491404,18.43
154,CO 37,24.47679411498853,4.569001568131191,4.242644313264678,0.0,62.79527294521745,0.0,0.0,0.0,93.11680329122032,0.5303893443040677,18.69
155,CO 27,18.14624678336317,3.3872993995611247,3.145349442449616,0.0,72.41770488928799,0.0,0.0,0.0,90.57433709247857,0.5219144569749286,19.04
156,CO 18,11.95980603874304,2.2324971272320338,2.07303304671546,0.0,81.82109482111058,0.0,0.0,0.0,88.22039526407849,0.514067984213595,19.45
157,CO 9,5.912606660813574,1.1036865766852002,1.024851821207686,0.0,91.01283787556336,0.0,0.0,0.0,86.03475875060117,0.5067825291686706,19.68
158,RO 86,56.92525854630967,10.626048261977804,9.867044814693674,0.0,5.715504093476274,7.756755555432086,0.0,0.0,116.13373681417025,0.7066868407085132,15.51
159,RO 74,48.71985611121874,9.09437314076083,8.444775059277914,0.0,11.006216297183943,14.937007831892494,0.0,0.0,118.18133381195872,0.8090666905979356,13.17
160,RO 62,41.1024508393995,7.672457490021239,7.124424812162579,0.0,15.917797337968638,21.602724958671722,0.0,0.0,120.1479040343327,0.9073952017166342,11.74
161,RO 52,34.01202537268723,6.348911402901616,5.895417731265786,0.0,20.489590232097243,27.807301029274825,0.0,0.0,122.03816371064937,1.0019081855324683,10.63
162,RO 42,27.395722571979178,5.113868213436112,4.748591912476391,0.0,24.755676417148976,33.59698942327361,0.0,0.0,123.8564700205722,1.0928235010286098,9.66
163,RO 32,21.20752550638965,3.9587380945260677,3.675971087774206,0.0,28.74572687388806,39.01205790027665,0.0,0.0,125.6068546242683,1.1803427312134147,9.22
164,RO 23,15.407185645093334,2.8760079870840887,2.6705788451495107,0.0,32.48569321101414,44.08772650066204,0.0,0.0,127.2930535039994,1.26465267519997,9.2
